Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
ESPARINA RESIDENCES,"1,090,000","1,001.05","1,089",01 Apr 2020,115 COMPASSVALE BOW #07-11,Resale,Strata,93,"11,720",-,Executive Condominium,1,99 yrs from 02/06/2010,2013,Private,544815,19,54,North East Region,Sengkang
RIO VISTA,"922,000","1,237.86",745,01 Apr 2020,32 UPPER SERANGOON VIEW #02-43,Resale,Strata,115,"8,017",-,Condominium,1,99 yrs from 02/01/2001,2004,Private,534209,19,53,North East Region,Hougang
BLOSSOM RESIDENCES,"990,000","1,087.16",911,01 Apr 2020,30 SEGAR ROAD #16-08,Resale,Strata,101,"9,802",-,Executive Condominium,1,99 yrs from 02/03/2011,2014,HDB,677721,23,67,West Region,Bukit Panjang
STRATTON GREEN,"2,688,888","1,969.81","1,365",01 Apr 2020,64 STRATTON DRIVE,Resale,Land,183,"14,693",-,Terrace House,1,Freehold,2003,HDB,805662,28,80,North East Region,Serangoon
CITYVISTA RESIDENCES,"4,713,800","2,626.42","1,795",01 Apr 2020,21 PECK HAY ROAD #18-02,Resale,Strata,244,"19,319",-,Condominium,1,Freehold,2010,HDB,228314,09,22,Central Region,Newton
MANDARIN GARDENS,"818,000",828.83,987,01 Apr 2020,5 SIGLAP ROAD #04-41,Resale,Strata,77,"10,623",-,Condominium,1,99 yrs from 08/03/1982,1986,Private,448908,15,44,East Region,Bedok
N.A.,"3,238,888","1,293.83","2,503",01 Apr 2020,20 MANGIS ROAD,Resale,Land,120.2,"26,946",-,Terrace House,1,Freehold,-,Private,424958,15,42,Central Region,Geylang
EUPHONY GARDENS,"735,000","1,151.75",638,01 Apr 2020,11 JALAN MATA AYER #03-64,Resale,Strata,107,"6,869",-,Condominium,1,99 yrs from 25/02/1998,2001,HDB,759154,27,75,North Region,Mandai
MARINA ONE RESIDENCES,"2,719,530","1,162.51","2,339",01 Apr 2020,23 MARINA WAY #22-34,Resale,Strata,108,"25,181",-,Apartment,1,99 yrs from 01/07/2011,2017,Private,018979,01,01,Central Region,Downtown Core
HOLLAND GREEN,"4,200,000","4,686.65",896,01 Apr 2020,4 HOLLAND GREEN,Resale,Land,435.4,"9,646",-,Detached House,1,99 yrs from 13/02/1995,1998,Private,276127,10,27,Central Region,Bukit Timah
THE AZURE,"2,300,000","1,894.46","1,214",01 Apr 2020,201 OCEAN DRIVE #01-06,Resale,Strata,176,"13,068",-,Condominium,1,99 yrs from 03/01/2005,2008,Private,098584,04,09,Central Region,Southern Islands
